Time,X,Y,Z
0.0,+000.005615,+000.014709,+000.021606
0.01,-000.007141,-000.035034,+000.028015
0.02,-000.010254,-000.042908,-000.068054
0.03,+000.067261,+000.056885,+000.027832
0.04,+000.020691,+000.002136,+000.034119
0.05,-000.014038,+000.006653,+000.068115
0.060000000000000005,+000.041748,+000.042969,-000.008545
0.07,-000.062317,+000.014221,-000.003601
0.08,+000.024414,-000.026184,-000.075195
0.09,-000.002625,+000.028381,+000.016174
0.09999999999999999,+000.087708,-000.044495,-000.026611
0.10999999999999999,-000.030823,-000.014526,-000.016479
0.11999999999999998,-000.013916,+000.021423,+000.001892
0.12999999999999998,-000.009460,+000.035095,-000.092407
0.13999999999999999,-000.027588,-000.006348,-000.030701
0.15,-000.038696,+000.122986,-000.013000
0.16,+000.003967,-000.044312,+000.053284
0.17,-000.079224,+000.030334,-000.038635
0.18000000000000002,-000.053345,+000.010254,-000.020874
0.19000000000000003,-000.050232,-000.009094,-000.039612
0.20000000000000004,+000.011902,+000.018860,+000.023804
0.21000000000000005,+000.028931,+000.002319,-000.045288
0.22000000000000006,+000.029785,-000.038452,+000.066833
0.23000000000000007,+000.017944,+000.053528,-000.003296
0.24000000000000007,-000.037537,-000.023071,-000.057434
0.25000000000000006,+000.070862,-000.021912,+000.013916
0.26000000000000006,-000.049377,-000.050354,+000.015381
0.2700000000000001,+000.046204,+000.071289,-000.046936
0.2800000000000001,-000.054443,+000.026794,+000.023560
0.2900000000000001,-000.070435,+000.092896,+000.012695
0.3000000000000001,-000.021729,+000.036499,+000.045349
0.3100000000000001,+000.000122,+000.001648,-000.020447
0.3200000000000001,-000.079956,-000.021606,+000.014526
0.3300000000000001,-000.024353,-000.020752,-000.085022
0.34000000000000014,-000.054810,-000.027283,+000.058777
0.35000000000000014,-000.013550,+000.080688,-000.019409
0.36000000000000015,+000.047058,+000.073669,-000.015381
0.37000000000000016,-000.046631,+000.040710,+000.109802
0.38000000000000017,+000.053406,-000.028442,-000.044678
0.3900000000000002,-000.033997,+000.010376,+000.019897
0.4000000000000002,+000.003357,+000.023132,+000.022766
0.4100000000000002,+000.022400,-000.049377,-000.010010
0.4200000000000002,+000.026306,+000.012695,+000.035461
0.4300000000000002,-000.043884,-000.065796,-000.137146
0.4400000000000002,+000.006653,+000.059143,-000.053589
0.45000000000000023,-000.028687,+000.012756,-000.008240
0.46000000000000024,-000.039368,-000.056030,-000.038025
0.47000000000000025,+000.006897,+000.024780,-000.037415
0.48000000000000026,+000.043945,-000.027527,-000.040649
0.49000000000000027,+000.033325,-000.077698,-000.009766
0.5000000000000002,-000.009949,-000.022705,+000.063049
0.5100000000000002,-000.005737,+000.033325,-000.088867
0.5200000000000002,-000.005188,-000.066345,-000.076111
0.5300000000000002,-000.008423,+000.077332,-000.024963
0.5400000000000003,-000.031982,-000.058655,-000.022095
0.5500000000000003,+000.055115,+000.003296,+000.102234
0.5600000000000003,-000.003479,+000.023987,-000.003845
0.5700000000000003,-000.040588,+000.017517,+000.034058
0.5800000000000003,-000.020386,-000.007446,+000.016602
0.5900000000000003,+000.003662,-000.013000,-000.006470
0.6000000000000003,-000.076660,-000.021790,-000.047852
0.6100000000000003,-000.078430,+000.041565,-000.026184
0.6200000000000003,-000.002808,-000.040771,+000.014893
0.6300000000000003,+000.013733,+000.005798,+000.007874
0.6400000000000003,+000.002075,-000.105286,-000.049683
0.6500000000000004,-000.047791,+000.023621,+000.065979
0.6600000000000004,-000.010437,+000.027344,-000.025024
0.6700000000000004,+000.052734,-000.048218,-000.075806
0.6800000000000004,+000.033997,+000.025330,-000.057495
0.6900000000000004,-000.027283,+000.008301,+000.020752
0.7000000000000004,-000.003662,+000.000366,-000.015442
0.7100000000000004,+000.000366,+000.062256,+000.006653
0.7200000000000004,+000.037964,+000.007202,+000.072327
0.7300000000000004,+000.001526,+000.006287,-000.007019
0.7400000000000004,-000.039307,-000.019104,+000.059204
0.7500000000000004,+000.002930,+000.031799,-000.022583
0.7600000000000005,-000.017395,-000.031067,+000.051941
0.7700000000000005,+000.067017,-000.005005,-000.004150
0.7800000000000005,+000.051453,+000.016479,-000.038208
0.7900000000000005,+000.011292,-000.054626,+000.034363
0.8000000000000005,-000.018738,-000.046875,+000.001038
0.8100000000000005,+000.005554,-000.047424,+000.029602
0.8200000000000005,+000.017212,+000.028381,+000.000793
0.8300000000000005,-000.007141,-000.016479,+000.067139
0.8400000000000005,+000.004700,-000.016113,+000.050171
0.8500000000000005,-000.004456,+000.056824,-000.004700
0.8600000000000005,+000.024231,+000.045654,-000.035278
0.8700000000000006,+000.020752,+000.032288,+000.010193
0.8800000000000006,+000.004883,+000.033386,-000.018066
0.8900000000000006,-000.006836,+000.011841,+000.043518
0.9000000000000006,-000.025391,-000.044983,+000.045593
0.9100000000000006,+000.070923,-000.022461,-000.027100
0.9200000000000006,-000.021729,+000.037781,-000.072144
0.9300000000000006,+000.023865,+000.044250,+000.039856
0.9400000000000006,+000.016479,-000.079651,+000.019104
0.9500000000000006,-000.032288,-000.042969,-000.013184
0.9600000000000006,+000.015259,+000.029846,-000.008545
0.9700000000000006,-000.073486,+000.102661,+000.033569
0.9800000000000006,+000.035095,-000.001648,+000.034607
0.9900000000000007,-000.021240,-000.065125,-000.002747
1.0000000000000007,-000.019409,+000.001343,+000.005615
1.0100000000000007,-000.092651,+000.022461,+000.040833
1.0200000000000007,+000.007568,+000.018982,+000.005920
1.0300000000000007,-000.014832,+000.017761,+000.083191
1.0400000000000007,+000.001587,+000.071777,-000.009277
1.0500000000000007,-000.043457,+000.062988,+000.058716
1.0600000000000007,-000.026794,-000.042908,+000.027588
1.0700000000000007,+000.027100,+000.038574,-000.028687
1.0800000000000007,+000.017883,+000.004211,-000.135681
1.0900000000000007,+000.041565,-000.059937,-000.001953
1.1000000000000008,+000.045227,-000.025208,-000.058167
1.1100000000000008,-000.036743,-000.053894,-000.028442
1.1200000000000008,-000.028992,+000.010376,+000.017212
1.1300000000000008,-000.030823,-000.025208,+000.035583
1.1400000000000008,-000.014954,+000.051208,+000.024475
1.1500000000000008,-000.015747,+000.097534,+000.013306
1.1600000000000008,-000.041443,+000.007019,-000.059448
1.1700000000000008,+000.029785,-000.012024,-000.026184
1.1800000000000008,-000.051941,-000.024475,+000.021423
1.1900000000000008,-000.005920,+000.007263,-000.084595
1.2000000000000008,-000.007812,-000.012024,+000.018372
1.2100000000000009,-000.039612,-000.020508,+000.009644
1.2200000000000009,-000.020691,-000.029297,+000.039612
1.2300000000000009,-000.011353,+000.017273,+000.027161
1.2400000000000009,-000.010376,+000.052734,+000.048950
1.2500000000000009,-000.017700,-000.042603,-000.006714
1.260000000000001,+000.005371,-000.025818,-000.023010
1.270000000000001,+000.051025,-000.012756,+000.029175
1.280000000000001,+000.020264,-000.002258,+000.063904
1.290000000000001,-000.052185,+000.016296,+000.051392
1.300000000000001,+000.033020,-000.000732,-000.009583
1.310000000000001,+000.012451,+000.015198,+000.041870
1.320000000000001,-000.041077,+000.018860,+000.009155
1.330000000000001,+000.023743,-000.007446,-000.008484
1.340000000000001,+000.024841,+000.099121,+000.001892
1.350000000000001,-000.026855,-000.039978,+000.005981
1.360000000000001,-000.065002,-000.011047,-000.077148
1.370000000000001,-000.045837,-000.010498,-000.025635
1.380000000000001,-000.019104,-000.040100,-000.011230
1.390000000000001,-000.013855,+000.038696,+000.009094
1.400000000000001,-000.013123,+000.047668,-000.003540
1.410000000000001,-000.034119,-000.033997,-000.019287
1.420000000000001,+000.016968,+000.037537,+000.006470
1.430000000000001,-000.084351,+000.049377,-000.022766
1.440000000000001,+000.034973,+000.026245,-000.146484
1.450000000000001,-000.047852,+000.109436,-000.028748
1.460000000000001,-000.088501,-000.000488,+000.012329
1.470000000000001,-000.005249,+000.014465,+000.050659
1.480000000000001,-000.048462,-000.086304,+000.023254
1.490000000000001,+000.026367,-000.004883,-000.040710
1.500000000000001,-000.005066,-000.007812,+000.016113
1.5100000000000011,+000.004883,+000.004944,+000.002747
1.5200000000000011,-000.061035,+000.011780,-000.001221
1.5300000000000011,+000.046875,-000.009583,+000.027710
1.5400000000000011,+000.012329,-000.008301,-000.088989
1.5500000000000012,+000.017761,-000.043823,-000.051758
1.5600000000000012,+000.044067,-000.017944,+000.014954
1.5700000000000012,+000.054321,-000.033447,+000.000549
1.5800000000000012,+000.009583,+000.035706,+000.105774
1.5900000000000012,-000.009094,+000.028870,-000.005798
1.6000000000000012,-000.006287,-000.004456,-000.014343
1.6100000000000012,-000.112732,+000.011292,+000.027527
1.6200000000000012,-000.028015,-000.060486,-000.030273
1.6300000000000012,-000.058411,+000.016357,-000.106934
1.6400000000000012,+000.007263,-000.020447,-000.028687
1.6500000000000012,-000.048523,+000.014160,+000.042603
1.6600000000000013,-000.033325,+000.011353,-000.073853
1.6700000000000013,-000.052368,+000.033691,+000.057251
1.6800000000000013,-000.003052,+000.018005,-000.040588
1.6900000000000013,-000.103638,-000.027588,+000.048645
1.7000000000000013,-000.020691,+000.006897,+000.049133
1.7100000000000013,+000.060486,+000.017212,-000.027710
1.7200000000000013,+000.079224,-000.031738,-000.076294
1.7300000000000013,+000.060913,-000.007629,+000.027649
1.7400000000000013,+000.011902,-000.010803,-000.020386
1.7500000000000013,-000.002380,+000.070129,+000.031067
1.7600000000000013,+000.022156,-000.017883,-000.039185
1.7700000000000014,+000.000305,+000.065918,-000.068665
1.7800000000000014,-000.052368,-000.058594,+000.046082
1.7900000000000014,+000.058472,+000.000671,-000.041748
1.8000000000000014,-000.068542,-000.018066,+000.000549
1.8100000000000014,-000.017273,+000.007812,-000.013367
1.8200000000000014,-000.042908,+000.055359,+000.004578
1.8300000000000014,+000.020203,-000.022461,-000.006165
1.8400000000000014,-000.038208,-000.068604,+000.059998
1.8500000000000014,+000.037415,-000.027893,-000.038025
1.8600000000000014,-000.036743,-000.008179,-000.006042
1.8700000000000014,-000.023926,-000.035583,+000.046814
1.8800000000000014,-000.035400,-000.033325,-000.027222
1.8900000000000015,+000.075134,-000.045959,-000.013733
1.9000000000000015,-000.074280,-000.053467,+000.014893
1.9100000000000015,-000.041016,+000.012634,+000.017761
1.9200000000000015,-000.036621,+000.029480,+000.033691
1.9300000000000015,+000.007935,+000.049194,+000.003235
1.9400000000000015,+000.017334,+000.002258,+000.013489
1.9500000000000015,+000.002319,+000.009888,+000.025879
1.9600000000000015,-000.019470,-000.017090,-000.061035
1.9700000000000015,-000.067688,+000.056519,-000.063843
1.9800000000000015,-000.036865,+000.078125,-000.047485
1.9900000000000015,+000.000671,-000.046021,+000.053711
2.0000000000000013,+000.015076,-000.000977,+000.063599
2.010000000000001,+000.055786,-000.057007,-000.060425
2.020000000000001,-000.017151,-000.047180,-000.090271
2.0300000000000007,-000.013794,-000.059509,+000.019470
2.0400000000000005,-000.030945,+000.047058,-000.015686
2.0500000000000003,-000.007568,-000.045532,-000.058716
2.06,+000.014648,-000.005188,+000.055603
2.07,-000.004272,-000.053162,+000.065674
2.0799999999999996,+000.035400,+000.022827,+000.002747
2.0899999999999994,+000.026489,-000.043884,-000.037231
2.099999999999999,-000.061768,-000.012512,-000.002991
2.109999999999999,+000.015381,-000.019348,+000.020508
2.1199999999999988,-000.050232,-000.022156,-000.096436
